quote_id,original_text,processed_text,author,tags,source_url,compound_score,sentiment,predicted_sentiment,prediction_score
1,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,world created process thinking changed without changing thinking,Albert Einstein,"change, deep-thoughts, thinking, world",https://quotes.toscrape.com/,0.25,Positive,Positive,0.6256698718202152
2,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",choice harry show truly far ability,J.K. Rowling,"abilities, choices",https://quotes.toscrape.com/,0.6369,Positive,Negative,-0.15501008241380895
3,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,two way live life one though nothing miracle though everything miracle,Albert Einstein,"inspirational, life, live, miracle, miracles",https://quotes.toscrape.com/,-0.7306,Negative,Negative,0.5456881824574297
4,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",person gentleman lady pleasure good novel must intolerably stupid,Jane Austen,"aliteracy, books, classic, humor",https://quotes.toscrape.com/,0.6705,Positive,Positive,0.6253045575562721
5,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",imperfection beauty madness genius better absolutely ridiculous absolutely boring,Marilyn Monroe,"be-yourself, inspirational",https://quotes.toscrape.com/,-0.2143,Negative,Negative,0.578668155547534
6,“Try not to become a man of success. Rather become a man of value.”,try become man success rather become man value,Albert Einstein,"adulthood, success, value",https://quotes.toscrape.com/,0.7269,Positive,Positive,0.6622405650931171
7,“It is better to be hated for what you are than to be loved for what you are not.”,better hated loved,André Gide,"life, love",https://quotes.toscrape.com/,0.3818,Positive,Positive,0.6425651532075456
8,"“I have not failed. I've just found 10,000 ways that won't work.”",failed ive found way wont work,Thomas A. Edison,"edison, failure, inspirational, paraphrased",https://quotes.toscrape.com/,-0.5106,Negative,Negative,0.5665971854093405
9,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,woman like tea bag never know strong hot water,Eleanor Roosevelt,misattributed-eleanor-roosevelt,https://quotes.toscrape.com/,-0.0521,Negative,Negative,0.5567945993704546
10,"“A day without sunshine is like, you know, night.”",day without sunshine like know night,Steve Martin,"humor, obvious, simile",https://quotes.toscrape.com/,-0.5773,Negative,Negative,0.5853921163859231
