Vehicle_ID,Model,Year,BodyStyle,Platform,DedicatedBEV,Manufacturer,Origin,Market,Primary_Body_Style,Model_Age_Years,Launch_Era,Region,Is_Dedicated_BEV,Manufacturer_Group,Is_SUV_Crossover
WIKI1000,Abarth 500e,2023,Hatchback,,No,Stellantis,Italy,Global,Hatchback,3,2023-2024 (Acceleration),Europe,0.0,Stellantis,0
WIKI1001,Abarth 600e,2024,Crossover SUV,"eCMP, CMP",No,Stellantis,Italy,Global,Crossover SUV,2,2023-2024 (Acceleration),Europe,0.0,Stellantis,1
WIKI1002,Aletra L8,2025,MPV/minivan,,Yes,Aletra (produced by Geely),Indonesia,Global,MPV,1,2025-2026 (Latest),Asia-Pacific,1.0,Geely Group,0
WIKI1003,Alfa Romeo Junior,2024,Crossover SUV,"eCMP, CMP",No,Stellantis,Italy,Global,Crossover SUV,2,2023-2024 (Acceleration),Europe,0.0,Stellantis,1
WIKI1004,Alpine A290,2024,Hatchback,AmpR Small,Yes,Alpine/Renault,France,Global,Hatchback,2,2023-2024 (Acceleration),Europe,1.0,Alpine/Renault,0
WIKI1005,Alpine A390,2026,Crossover SUV,AmpR Medium,Yes,Alpine/Renault,France,Global,Crossover SUV,0,2025-2026 (Latest),Europe,1.0,Alpine/Renault,1
WIKI1006,Audi e-tron GT,2021,Sedan,J1,Yes,Audi,Germany,Global,Sedan,5,2020-2022 (Mainstream),Europe,1.0,Volkswagen Group,0
WIKI1007,Audi A6 e-tron,2024,Sedan and Station wagon,PPE,Yes,Audi,Germany,Global,Sedan,2,2023-2024 (Acceleration),Europe,1.0,Volkswagen Group,0
WIKI1008,Audi Q4 e-tron,2021,Crossover SUV,MEB,Yes,Audi,Germany,Global,Crossover SUV,5,2020-2022 (Mainstream),Europe,1.0,Volkswagen Group,1
WIKI1009,Audi Q6 e-tron,2024,Crossover SUV,PPE,Yes,Audi,Germany,Global,Crossover SUV,2,2023-2024 (Acceleration),Europe,1.0,Volkswagen Group,1
WIKI1010,BMW i3,2026,Sedan,Neue Klasse,Yes,BMW,Germany,Global,Sedan,0,2025-2026 (Latest),Europe,1.0,BMW Group,0
WIKI1011,BMW i4,2021,Liftback,CLAR,No,BMW,Germany,Global,Liftback,5,2020-2022 (Mainstream),Europe,0.0,BMW Group,0
WIKI1012,BMW i5,2023,Sedan,CLAR,No,BMW,Germany,Global,Sedan,3,2023-2024 (Acceleration),Europe,0.0,BMW Group,0
WIKI1013,BMW i5 Touring,2024,Station wagon,CLAR,No,BMW,Germany,Global,Station wagon,2,2023-2024 (Acceleration),Europe,0.0,BMW Group,0
WIKI1014,BMW i7,2022,Sedan,CLAR,No,BMW,Germany,Global,Sedan,4,2020-2022 (Mainstream),Europe,0.0,BMW Group,0
WIKI1015,BMW iX,2021,Crossover SUV,iX,Yes,BMW,Germany,Global,Crossover SUV,5,2020-2022 (Mainstream),Europe,1.0,BMW Group,1
WIKI1016,BMW iX1,2022,Crossover SUV,UKL2,No,BMW,Germany,Global,Crossover SUV,4,2020-2022 (Mainstream),Europe,0.0,BMW Group,1
WIKI1017,BMW iX2,2023,Crossover SUV,UKL2,No,BMW,Germany,Global,Crossover SUV,3,2023-2024 (Acceleration),Europe,0.0,BMW Group,1
WIKI1018,BMW iX3,2025,Crossover SUV,Neue Klasse,Yes,BMW,Germany,Global,Crossover SUV,1,2025-2026 (Latest),Europe,1.0,BMW Group,1
WIKI1019,Cadillac Celestiq,2024,Liftback,BEV3,Yes,General Motors,United States,Global,Liftback,2,2023-2024 (Acceleration),North America,1.0,General Motors,0
WIKI1020,Cadillac Escalade IQ,2024,SUV,BT1,Yes,General Motors,United States,Global,SUV,2,2023-2024 (Acceleration),North America,1.0,General Motors,1
WIKI1021,Cadillac Lyriq,2022,Crossover SUV,BEV3,Yes,General Motors,United States,Global,Crossover SUV,4,2020-2022 (Mainstream),North America,1.0,General Motors,1
WIKI1022,Cadillac Optiq,2023,Crossover SUV,BEV3,Yes,General Motors,United States,Global,Crossover SUV,3,2023-2024 (Acceleration),North America,1.0,General Motors,1
WIKI1023,Cadillac Vistiq,2025,Crossover SUV,BEV3,Yes,General Motors,United States,Global,Crossover SUV,1,2025-2026 (Latest),North America,1.0,General Motors,1
WIKI1024,Chevrolet Blazer EV,2023,Crossover SUV,BEV3,Yes,General Motors,United States,Global,Crossover SUV,3,2023-2024 (Acceleration),North America,1.0,General Motors,1
WIKI1025,Chevrolet Bolt,2025,Crossover SUV,BEV2,Yes,General Motors,United States,Global,Crossover SUV,1,2025-2026 (Latest),North America,1.0,General Motors,1
WIKI1026,Chevrolet Equinox EV,2024,Crossover SUV,BEV3,Yes,General Motors,United States,Global,Crossover SUV,2,2023-2024 (Acceleration),North America,1.0,General Motors,1
WIKI1027,Chevrolet Silverado EV,2023,Pickup truck,BT1,Yes,General Motors,United States,Global,Pickup truck,3,2023-2024 (Acceleration),North America,1.0,General Motors,0
WIKI1028,Citroen e-Berlingo,2021,Van,EMP2,No,Stellantis,France,Global,Van,5,2020-2022 (Mainstream),Europe,0.0,Stellantis,0
WIKI1029,Citroen e-C3 Europe,2023,Hatchback,Smart Car,No,Stellantis,France,Global,Hatchback,3,2023-2024 (Acceleration),Europe,0.0,Stellantis,0
WIKI1030,Citroen e-C3 India,2023,Hatchback,Smart Car,No,Stellantis,France,Global,Hatchback,3,2023-2024 (Acceleration),Europe,0.0,Stellantis,0
WIKI1031,Citroen e-C4,2021,Crossover SUV,eCMP,No,Stellantis,France,Global,Crossover SUV,5,2020-2022 (Mainstream),Europe,0.0,Stellantis,1
WIKI1032,Citroen e-C4 X,2022,Crossover SUV,eCMP,No,Stellantis,France,Global,Crossover SUV,4,2020-2022 (Mainstream),Europe,0.0,Stellantis,1
WIKI1033,Citroen e-C5 Aircross,2025,Crossover SUV,STLA Medium,No,Stellantis,France,Global,Crossover SUV,1,2025-2026 (Latest),Europe,0.0,Stellantis,1
WIKI1034,Cupra Born,2021,Hatchback,MEB,Yes,SEAT,Spain,Global,Hatchback,5,2020-2022 (Mainstream),Europe,1.0,Volkswagen Group,0
WIKI1035,Cupra Tavascan,2023,Crossover SUV,MEB,Yes,SEAT,Spain,Global,Crossover SUV,3,2023-2024 (Acceleration),Europe,1.0,Volkswagen Group,1
WIKI1036,DS 3 Crossback E-Tense,2019,Crossover SUV,eCMP,No,Stellantis,France,Global,Crossover SUV,7,2016-2019 (Growth),Europe,0.0,Stellantis,1
WIKI1037,DS No. 4,2025,Hatchback,EMP2 V3,No,Stellantis,France,Global,Hatchback,1,2025-2026 (Latest),Europe,0.0,Stellantis,0
WIKI1038,DS No. 8,2025,Crossover SUV,STLA Medium,Yes,Stellantis,France,Global,Crossover SUV,1,2025-2026 (Latest),Europe,1.0,Stellantis,1
WIKI1039,Dodge Charger Daytona,2024,Liftback,STLA Large,No,Stellantis,United States,Global,Liftback,2,2023-2024 (Acceleration),North America,0.0,Stellantis,0
WIKI1040,Dacia Spring Electric,2021,Hatchback,CMFA-EV,No,Dacia/Renault,Romania,Global,Hatchback,5,2020-2022 (Mainstream),Europe,0.0,Dacia/Renault,0
WIKI1041,Faraday Future FF 91,2023,Crossover SUV,,Yes,Faraday Future,United States,Global,Crossover SUV,3,2023-2024 (Acceleration),North America,1.0,Faraday Future,1
WIKI1042,Fiat E-Ducato,2021,Van,,No,Stellantis,Italy,Global,Van,5,2020-2022 (Mainstream),Europe,0.0,Stellantis,0
WIKI1043,Fiat 500e,2020,Hatchback,,Yes,Stellantis,Italy,Global,Hatchback,6,2020-2022 (Mainstream),Europe,1.0,Stellantis,0
WIKI1044,Fiat 600e,2023,Crossover SUV,"eCMP, CMP",No,Stellantis,Italy,Global,Crossover SUV,3,2023-2024 (Acceleration),Europe,0.0,Stellantis,1
WIKI1045,Fiat Grande Panda,2024,Hatchback,Smart Car,No,Stellantis,Italy,Global,Hatchback,2,2023-2024 (Acceleration),Europe,0.0,Stellantis,0
WIKI1046,Ford Capri EV,2024,Crossover SUV,MEB,Yes,Ford,United States,Global,Crossover SUV,2,2023-2024 (Acceleration),North America,1.0,Ford,1
WIKI1047,Ford E-Transit,2021,Van,,No,Ford,United States,Global,Van,5,2020-2022 (Mainstream),North America,0.0,Ford,0
WIKI1048,Ford Explorer EV,2024,Crossover SUV,MEB,Yes,Ford,United States,Global,Crossover SUV,2,2023-2024 (Acceleration),North America,1.0,Ford,1
WIKI1049,Ford Mustang Mach-E,2020,Crossover SUV,GE1,Yes,Ford,United States,Global,Crossover SUV,6,2020-2022 (Mainstream),North America,1.0,Ford,1
WIKI1050,Ford Puma Gen-E,2024,Crossover SUV,Ford Global B-car,No,Ford,United States,Global,Crossover SUV,2,2023-2024 (Acceleration),North America,0.0,Ford,1
WIKI1051,Genesis Electrified G80,2021,Sedan,M3,No,Genesis Motor,South Korea,Global,Sedan,5,2020-2022 (Mainstream),Asia-Pacific,0.0,Genesis Motor,0
WIKI1052,Genesis Electrified GV70,2022,Crossover SUV,M3,No,Genesis Motor,South Korea,Global,Crossover SUV,4,2020-2022 (Mainstream),Asia-Pacific,0.0,Genesis Motor,1
WIKI1053,Genesis GV60,2021,Crossover SUV,E-GMP,Yes,Genesis Motor,South Korea,Global,Crossover SUV,5,2020-2022 (Mainstream),Asia-Pacific,1.0,Genesis Motor,1
WIKI1054,GMC Sierra EV,2023,Pickup truck,BT1,Yes,General Motors,United States,Global,Pickup truck,3,2023-2024 (Acceleration),North America,1.0,General Motors,0
WIKI1055,GMC Hummer EV,2022,Pickup truck and SUV,BT1,Yes,General Motors,United States,Global,Pickup truck,4,2020-2022 (Mainstream),North America,1.0,General Motors,0
WIKI1056,Honda e:Ny1/e:N1,2023,Crossover SUV,e:N Architecture F,No,Honda,Japan,Global,Crossover SUV,3,2023-2024 (Acceleration),Asia-Pacific,0.0,Honda,1
WIKI1057,Honda Prologue,2023,Crossover SUV,BEV3,Yes,Honda (produced by General Motors),Japan,Global,Crossover SUV,3,2023-2024 (Acceleration),Asia-Pacific,1.0,General Motors,1
WIKI1058,Hyundai Casper Electric/Inster,2024,Hatchback,Hyundai-Kia K1 BEV,No,Hyundai,South Korea,Global,Hatchback,2,2023-2024 (Acceleration),Asia-Pacific,0.0,Hyundai,0
WIKI1059,Hyundai Creta Electric,2025,Crossover SUV,Hyundai-Kia K2 BEV,No,Hyundai,South Korea,Global,Crossover SUV,1,2025-2026 (Latest),Asia-Pacific,0.0,Hyundai,1
WIKI1060,Hyundai Ioniq 5,2021,Crossover SUV,E-GMP,Yes,Hyundai,South Korea,Global,Crossover SUV,5,2020-2022 (Mainstream),Asia-Pacific,1.0,Hyundai,1
WIKI1061,Hyundai Ioniq 6,2022,Sedan,E-GMP,Yes,Hyundai,South Korea,Global,Sedan,4,2020-2022 (Mainstream),Asia-Pacific,1.0,Hyundai,0
WIKI1062,Hyundai Ioniq 9,2025,Crossover SUV,E-GMP,Yes,Hyundai,South Korea,Global,Crossover SUV,1,2025-2026 (Latest),Asia-Pacific,1.0,Hyundai,1
WIKI1063,Hyundai Kona Electric,2019,Crossover SUV,Hyundai-Kia K3,No,Hyundai,South Korea,Global,Crossover SUV,7,2016-2019 (Growth),Asia-Pacific,0.0,Hyundai,1
WIKI1064,Jeep Avenger,2023,Crossover SUV,eCMP / STLA Small,No,Stellantis,United States,Global,Crossover SUV,3,2023-2024 (Acceleration),North America,0.0,Stellantis,1
WIKI1065,Jeep Wagoneer S,2024,Crossover SUV,STLA Large,Yes,Stellantis,United States,Global,Crossover SUV,2,2023-2024 (Acceleration),North America,1.0,Stellantis,1
WIKI1066,Kia EV3,2024,Crossover SUV,E-GMP,Yes,Kia,South Korea,Global,Crossover SUV,2,2023-2024 (Acceleration),Asia-Pacific,1.0,Kia,1
WIKI1067,Kia EV4,2025,Sedan and hatchback,E-GMP,Yes,Kia,South Korea,Global,Sedan,1,2025-2026 (Latest),Asia-Pacific,1.0,Kia,0
WIKI1068,Kia EV5,2023,Crossover SUV,Hyundai-Kia N3 eK,Yes,Kia,South Korea,Global,Crossover SUV,3,2023-2024 (Acceleration),Asia-Pacific,1.0,Kia,1
WIKI1069,Kia EV6,2021,Crossover SUV,E-GMP,Yes,Kia,South Korea,Global,Crossover SUV,5,2020-2022 (Mainstream),Asia-Pacific,1.0,Kia,1
WIKI1070,Kia EV9,2023,Crossover SUV,E-GMP,Yes,Kia,South Korea,Global,Crossover SUV,3,2023-2024 (Acceleration),Asia-Pacific,1.0,Kia,1
WIKI1071,Lexus RZ,2022,Crossover SUV,e-TNGA,Yes,Toyota,Japan,Global,Crossover SUV,4,2020-2022 (Mainstream),Asia-Pacific,1.0,Toyota Group,1
WIKI1072,Lotus Eletre,2023,Crossover SUV,EPA,Yes,Lotus Cars,United Kingdom,Global,Crossover SUV,3,2023-2024 (Acceleration),Europe,1.0,Lotus Cars,1
WIKI1073,Lotus Emeya,2024,Liftback,EPA,Yes,Lotus Cars,United Kingdom,Global,Liftback,2,2023-2024 (Acceleration),Europe,1.0,Lotus Cars,0
WIKI1074,Lucid Air,2021,Sedan,,Yes,Lucid Motors,United States,Global,Sedan,5,2020-2022 (Mainstream),North America,1.0,Lucid Motors,0
WIKI1075,Lucid Gravity,2024,Crossover SUV,,Yes,Lucid Motors,United States,Global,Crossover SUV,2,2023-2024 (Acceleration),North America,1.0,Lucid Motors,1
WIKI1076,Mahindra BE 6,2025,Crossover SUV,INGLO,Yes,Mahindra,India,Global,Crossover SUV,1,2025-2026 (Latest),Asia-Pacific,1.0,Mahindra,1
WIKI1077,Mahindra XEV 9e,2025,Crossover SUV,INGLO,Yes,Mahindra,India,Global,Crossover SUV,1,2025-2026 (Latest),Asia-Pacific,1.0,Mahindra,1
WIKI1078,Mahindra XEV 9S,2025,Crossover SUV,INGLO,Yes,Mahindra,India,Global,Crossover SUV,1,2025-2026 (Latest),Asia-Pacific,1.0,Mahindra,1
WIKI1079,Mahindra XUV 3XO EV,2026,Crossover SUV,X100,No,Mahindra,India,Global,Crossover SUV,0,2025-2026 (Latest),Asia-Pacific,0.0,Mahindra,1
WIKI1080,Maserati Grecale Folgore,2023,Crossover SUV,FCA Giorgio,No,Stellantis,Italy,Global,Crossover SUV,3,2023-2024 (Acceleration),Europe,0.0,Stellantis,1
WIKI1081,Mazda 6e,2025,Liftback,EPA1,Yes,Mazda,Japan,Global,Liftback,1,2025-2026 (Latest),Asia-Pacific,1.0,Mazda,0
WIKI1082,Mazda MX-30,2020,Crossover SUV,e-Skyactiv,No,Mazda,Japan,Global,Crossover SUV,6,2020-2022 (Mainstream),Asia-Pacific,0.0,Mazda,1
WIKI1083,Mercedes-Benz EQA,2021,Crossover SUV,MFA2,No,Mercedes-Benz Group,Germany,Global,Crossover SUV,5,2020-2022 (Mainstream),Europe,0.0,Mercedes-Benz Group,1
WIKI1084,Mercedes-Benz EQE,2022,Sedan,EVA,Yes,Mercedes-Benz Group,Germany,Global,Sedan,4,2020-2022 (Mainstream),Europe,1.0,Mercedes-Benz Group,0
WIKI1085,Mercedes-Benz EQE SUV,2022,Crossover SUV,EVA,Yes,Mercedes-Benz Group,Germany,Global,Crossover SUV,4,2020-2022 (Mainstream),Europe,1.0,Mercedes-Benz Group,1
WIKI1086,Mercedes-Benz EQS,2021,Liftback,MEA,Yes,Mercedes-Benz Group,Germany,Global,Liftback,5,2020-2022 (Mainstream),Europe,1.0,Mercedes-Benz Group,0
WIKI1087,Mercedes-Benz EQS SUV,2022,Crossover SUV,MEA,Yes,Mercedes-Benz Group,Germany,Global,Crossover SUV,4,2020-2022 (Mainstream),Europe,1.0,Mercedes-Benz Group,1
WIKI1088,Mini Cooper E/SE,2023,Hatchback,,No,Mini/BMW,United Kingdom,Global,Hatchback,3,2023-2024 (Acceleration),Europe,0.0,BMW Group,0
WIKI1089,Mini Countryman E/SE,2023,Crossover SUV,UKL2,No,Mini/BMW,United Kingdom,Global,Crossover SUV,3,2023-2024 (Acceleration),Europe,0.0,BMW Group,1
WIKI1090,Mini Aceman,2024,Crossover SUV,,Yes,Mini/BMW,United Kingdom,Global,Crossover SUV,2,2023-2024 (Acceleration),Europe,1.0,BMW Group,1
WIKI1091,Nissan Ariya,2021,Crossover SUV,AmpR Medium,Yes,Nissan,Japan,Global,Crossover SUV,5,2020-2022 (Mainstream),Asia-Pacific,1.0,Nissan,1
WIKI1092,Nissan Leaf,2010,Hatchback/Crossover SUV,AmpR Medium,Yes,Nissan,Japan,Global,Hatchback,16,2010-2015 (Early),Asia-Pacific,1.0,Nissan,0
WIKI1093,Nissan Sakura,2022,Hatchback,KEI-EV,Yes,NMKV,Japan,Global,Hatchback,4,2020-2022 (Mainstream),Asia-Pacific,1.0,NMKV,0
WIKI1094,Opel Astra Electric,2023,Hatchback,EMP2 V3,No,Stellantis,Germany/United Kingdom,Global,Hatchback,3,2023-2024 (Acceleration),Europe,0.0,Stellantis,0
WIKI1095,Opel Corsa Electric,2019,Hatchback,eCMP,No,Stellantis,Germany/United Kingdom,Global,Hatchback,7,2016-2019 (Growth),Europe,0.0,Stellantis,0
WIKI1096,Opel Mokka-e,2020,Crossover SUV,eCMP,No,Stellantis,Germany/United Kingdom,Global,Crossover SUV,6,2020-2022 (Mainstream),Europe,0.0,Stellantis,1
WIKI1097,Opel Frontera Electric,2024,Crossover SUV,Smart Car,No,Stellantis,Germany/United Kingdom,Global,Crossover SUV,2,2023-2024 (Acceleration),Europe,0.0,Stellantis,1
WIKI1098,Opel Grandland Electric,2024,Crossover SUV,STLA Medium,No,Stellantis,Germany/United Kingdom,Global,Crossover SUV,2,2023-2024 (Acceleration),Europe,0.0,Stellantis,1
WIKI1099,Peugeot e-208,2019,Hatchback,eCMP,No,Stellantis,France,Global,Hatchback,7,2016-2019 (Growth),Europe,0.0,Stellantis,0
WIKI1100,Peugeot e-2008,2020,Crossover SUV,eCMP,No,Stellantis,France,Global,Crossover SUV,6,2020-2022 (Mainstream),Europe,0.0,Stellantis,1
