quote_id,quote_text,author,tags,source_url,text_length,original_text,normalized_text,tokens,filtered_tokens,lemmatized_tokens,stemmed_tokens,processed_text,original_char_count,processed_char_count,original_word_count,processed_word_count,bigrams,trigrams
1,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"change, deep-thoughts, thinking, world",https://quotes.toscrape.com/,115,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,the world as we have created it is a process of our thinking it cannot be changed without changing our thinking,"['the', 'world', 'as', 'we', 'have', 'created', 'it', 'is', 'a', 'process', 'of', 'our', 'thinking', 'it', 'can', 'not', 'be', 'changed', 'without', 'changing', 'our', 'thinking']","['world', 'created', 'process', 'thinking', 'changed', 'without', 'changing', 'thinking']","['world', 'created', 'process', 'thinking', 'changed', 'without', 'changing', 'thinking']","['world', 'creat', 'process', 'think', 'chang', 'without', 'chang', 'think']",world created process thinking changed without changing thinking,115,64,22,8,"['world created', 'created process', 'process thinking', 'thinking changed', 'changed without', 'without changing', 'changing thinking']","['world created process', 'created process thinking', 'process thinking changed', 'thinking changed without', 'changed without changing', 'without changing thinking']"
2,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"abilities, choices",https://quotes.toscrape.com/,85,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",it is our choices harry that show what we truly are far more than our abilities,"['it', 'is', 'our', 'choices', 'harry', 'that', 'show', 'what', 'we', 'truly', 'are', 'far', 'more', 'than', 'our', 'abilities']","['choices', 'harry', 'show', 'truly', 'far', 'abilities']","['choice', 'harry', 'show', 'truly', 'far', 'ability']","['choic', 'harri', 'show', 'truli', 'far', 'abil']",choice harry show truly far ability,85,35,16,6,"['choice harry', 'harry show', 'show truly', 'truly far', 'far ability']","['choice harry show', 'harry show truly', 'show truly far', 'truly far ability']"
3,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"inspirational, life, live, miracle, miracles",https://quotes.toscrape.com/,131,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,there are only two ways to live your life one is as though nothing is a miracle the other is as though everything is a miracle,"['there', 'are', 'only', 'two', 'ways', 'to', 'live', 'your', 'life', 'one', 'is', 'as', 'though', 'nothing', 'is', 'a', 'miracle', 'the', 'other', 'is', 'as', 'though', 'everything', 'is', 'a', 'miracle']","['two', 'ways', 'live', 'life', 'one', 'though', 'nothing', 'miracle', 'though', 'everything', 'miracle']","['two', 'way', 'live', 'life', 'one', 'though', 'nothing', 'miracle', 'though', 'everything', 'miracle']","['two', 'way', 'live', 'life', 'one', 'though', 'noth', 'miracl', 'though', 'everyth', 'miracl']",two way live life one though nothing miracle though everything miracle,131,70,26,11,"['two way', 'way live', 'live life', 'life one', 'one though', 'though nothing', 'nothing miracle', 'miracle though', 'though everything', 'everything miracle']","['two way live', 'way live life', 'live life one', 'life one though', 'one though nothing', 'though nothing miracle', 'nothing miracle though', 'miracle though everything', 'though everything miracle']"
4,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"aliteracy, books, classic, humor",https://quotes.toscrape.com/,104,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",the person be it gentleman or lady who has not pleasure in a good novel must be intolerably stupid,"['the', 'person', 'be', 'it', 'gentleman', 'or', 'lady', 'who', 'has', 'not', 'pleasure', 'in', 'a', 'good', 'novel', 'must', 'be', 'intolerably', 'stupid']","['person', 'gentleman', 'lady', 'pleasure', 'good', 'novel', 'must', 'intolerably', 'stupid']","['person', 'gentleman', 'lady', 'pleasure', 'good', 'novel', 'must', 'intolerably', 'stupid']","['person', 'gentleman', 'ladi', 'pleasur', 'good', 'novel', 'must', 'intoler', 'stupid']",person gentleman lady pleasure good novel must intolerably stupid,104,65,19,9,"['person gentleman', 'gentleman lady', 'lady pleasure', 'pleasure good', 'good novel', 'novel must', 'must intolerably', 'intolerably stupid']","['person gentleman lady', 'gentleman lady pleasure', 'lady pleasure good', 'pleasure good novel', 'good novel must', 'novel must intolerably', 'must intolerably stupid']"
5,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"be-yourself, inspirational",https://quotes.toscrape.com/,111,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",imperfection is beauty madness is genius and its better to be absolutely ridiculous than absolutely boring,"['imperfection', 'is', 'beauty', 'madness', 'is', 'genius', 'and', 'its', 'better', 'to', 'be', 'absolutely', 'ridiculous', 'than', 'absolutely', 'boring']","['imperfection', 'beauty', 'madness', 'genius', 'better', 'absolutely', 'ridiculous', 'absolutely', 'boring']","['imperfection', 'beauty', 'madness', 'genius', 'better', 'absolutely', 'ridiculous', 'absolutely', 'boring']","['imperfect', 'beauti', 'mad', 'geniu', 'better', 'absolut', 'ridicul', 'absolut', 'bore']",imperfection beauty madness genius better absolutely ridiculous absolutely boring,111,81,16,9,"['imperfection beauty', 'beauty madness', 'madness genius', 'genius better', 'better absolutely', 'absolutely ridiculous', 'ridiculous absolutely', 'absolutely boring']","['imperfection beauty madness', 'beauty madness genius', 'madness genius better', 'genius better absolutely', 'better absolutely ridiculous', 'absolutely ridiculous absolutely', 'ridiculous absolutely boring']"
6,“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"adulthood, success, value",https://quotes.toscrape.com/,67,“Try not to become a man of success. Rather become a man of value.”,try not to become a man of success rather become a man of value,"['try', 'not', 'to', 'become', 'a', 'man', 'of', 'success', 'rather', 'become', 'a', 'man', 'of', 'value']","['try', 'become', 'man', 'success', 'rather', 'become', 'man', 'value']","['try', 'become', 'man', 'success', 'rather', 'become', 'man', 'value']","['tri', 'becom', 'man', 'success', 'rather', 'becom', 'man', 'valu']",try become man success rather become man value,67,46,14,8,"['try become', 'become man', 'man success', 'success rather', 'rather become', 'become man', 'man value']","['try become man', 'become man success', 'man success rather', 'success rather become', 'rather become man', 'become man value']"
7,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"life, love",https://quotes.toscrape.com/,82,“It is better to be hated for what you are than to be loved for what you are not.”,it is better to be hated for what you are than to be loved for what you are not,"['it', 'is', 'better', 'to', 'be', 'hated', 'for', 'what', 'you', 'are', 'than', 'to', 'be', 'loved', 'for', 'what', 'you', 'are', 'not']","['better', 'hated', 'loved']","['better', 'hated', 'loved']","['better', 'hate', 'love']",better hated loved,82,18,19,3,"['better hated', 'hated loved']",['better hated loved']
8,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"edison, failure, inspirational, paraphrased",https://quotes.toscrape.com/,65,"“I have not failed. I've just found 10,000 ways that won't work.”",i have not failed ive just found ways that wont work,"['i', 'have', 'not', 'failed', 'ive', 'just', 'found', 'ways', 'that', 'wont', 'work']","['failed', 'ive', 'found', 'ways', 'wont', 'work']","['failed', 'ive', 'found', 'way', 'wont', 'work']","['fail', 'ive', 'found', 'way', 'wont', 'work']",failed ive found way wont work,65,30,11,6,"['failed ive', 'ive found', 'found way', 'way wont', 'wont work']","['failed ive found', 'ive found way', 'found way wont', 'way wont work']"
9,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,misattributed-eleanor-roosevelt,https://quotes.toscrape.com/,85,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,a woman is like a tea bag you never know how strong it is until its in hot water,"['a', 'woman', 'is', 'like', 'a', 'tea', 'bag', 'you', 'never', 'know', 'how', 'strong', 'it', 'is', 'until', 'its', 'in', 'hot', 'water']","['woman', 'like', 'tea', 'bag', 'never', 'know', 'strong', 'hot', 'water']","['woman', 'like', 'tea', 'bag', 'never', 'know', 'strong', 'hot', 'water']","['woman', 'like', 'tea', 'bag', 'never', 'know', 'strong', 'hot', 'water']",woman like tea bag never know strong hot water,85,46,19,9,"['woman like', 'like tea', 'tea bag', 'bag never', 'never know', 'know strong', 'strong hot', 'hot water']","['woman like tea', 'like tea bag', 'tea bag never', 'bag never know', 'never know strong', 'know strong hot', 'strong hot water']"
10,"“A day without sunshine is like, you know, night.”",Steve Martin,"humor, obvious, simile",https://quotes.toscrape.com/,50,"“A day without sunshine is like, you know, night.”",a day without sunshine is like you know night,"['a', 'day', 'without', 'sunshine', 'is', 'like', 'you', 'know', 'night']","['day', 'without', 'sunshine', 'like', 'know', 'night']","['day', 'without', 'sunshine', 'like', 'know', 'night']","['day', 'without', 'sunshin', 'like', 'know', 'night']",day without sunshine like know night,50,36,9,6,"['day without', 'without sunshine', 'sunshine like', 'like know', 'know night']","['day without sunshine', 'without sunshine like', 'sunshine like know', 'like know night']"
