Vehicle_ID,Model,Year,BodyStyle,Platform,DedicatedBEV,Manufacturer,Origin,Market,Primary_Body_Style
WIKI1000,Abarth 500e,2023,Hatchback,,No,Stellantis,Italy,Global,Hatchback
WIKI1001,Abarth 600e,2024,Crossover SUV,"eCMP, CMP",No,Stellantis,Italy,Global,Crossover SUV
WIKI1002,Aletra L8,2025,MPV/minivan,,Yes,Aletra (produced by Geely),Indonesia,Global,MPV
WIKI1003,Alfa Romeo Junior,2024,Crossover SUV,"eCMP, CMP",No,Stellantis,Italy,Global,Crossover SUV
WIKI1004,Alpine A290,2024,Hatchback,AmpR Small,Yes,Alpine/Renault,France,Global,Hatchback
WIKI1005,Alpine A390,2026,Crossover SUV,AmpR Medium,Yes,Alpine/Renault,France,Global,Crossover SUV
WIKI1006,Audi e-tron GT,2021,Sedan,J1,Yes,Audi,Germany,Global,Sedan
WIKI1007,Audi A6 e-tron,2024,Sedan and Station wagon,PPE,Yes,Audi,Germany,Global,Sedan
WIKI1008,Audi Q4 e-tron,2021,Crossover SUV,MEB,Yes,Audi,Germany,Global,Crossover SUV
WIKI1009,Audi Q6 e-tron,2024,Crossover SUV,PPE,Yes,Audi,Germany,Global,Crossover SUV
WIKI1010,BMW i3,2026,Sedan,Neue Klasse,Yes,BMW,Germany,Global,Sedan
WIKI1011,BMW i4,2021,Liftback,CLAR,No,BMW,Germany,Global,Liftback
WIKI1012,BMW i5,2023,Sedan,CLAR,No,BMW,Germany,Global,Sedan
WIKI1013,BMW i5 Touring,2024,Station wagon,CLAR,No,BMW,Germany,Global,Station wagon
WIKI1014,BMW i7,2022,Sedan,CLAR,No,BMW,Germany,Global,Sedan
WIKI1015,BMW iX,2021,Crossover SUV,iX,Yes,BMW,Germany,Global,Crossover SUV
WIKI1016,BMW iX1,2022,Crossover SUV,UKL2,No,BMW,Germany,Global,Crossover SUV
WIKI1017,BMW iX2,2023,Crossover SUV,UKL2,No,BMW,Germany,Global,Crossover SUV
WIKI1018,BMW iX3,2025,Crossover SUV,Neue Klasse,Yes,BMW,Germany,Global,Crossover SUV
WIKI1019,Cadillac Celestiq,2024,Liftback,BEV3,Yes,General Motors,United States,Global,Liftback
WIKI1020,Cadillac Escalade IQ,2024,SUV,BT1,Yes,General Motors,United States,Global,SUV
WIKI1021,Cadillac Lyriq,2022,Crossover SUV,BEV3,Yes,General Motors,United States,Global,Crossover SUV
WIKI1022,Cadillac Optiq,2023,Crossover SUV,BEV3,Yes,General Motors,United States,Global,Crossover SUV
WIKI1023,Cadillac Vistiq,2025,Crossover SUV,BEV3,Yes,General Motors,United States,Global,Crossover SUV
WIKI1024,Chevrolet Blazer EV,2023,Crossover SUV,BEV3,Yes,General Motors,United States,Global,Crossover SUV
WIKI1025,Chevrolet Bolt,2025,Crossover SUV,BEV2,Yes,General Motors,United States,Global,Crossover SUV
WIKI1026,Chevrolet Equinox EV,2024,Crossover SUV,BEV3,Yes,General Motors,United States,Global,Crossover SUV
WIKI1027,Chevrolet Silverado EV,2023,Pickup truck,BT1,Yes,General Motors,United States,Global,Pickup truck
WIKI1028,Citroen e-Berlingo,2021,Van,EMP2,No,Stellantis,France,Global,Van
WIKI1029,Citroen e-C3 Europe,2023,Hatchback,Smart Car,No,Stellantis,France,Global,Hatchback
WIKI1030,Citroen e-C3 India,2023,Hatchback,Smart Car,No,Stellantis,France,Global,Hatchback
WIKI1031,Citroen e-C4,2021,Crossover SUV,eCMP,No,Stellantis,France,Global,Crossover SUV
WIKI1032,Citroen e-C4 X,2022,Crossover SUV,eCMP,No,Stellantis,France,Global,Crossover SUV
WIKI1033,Citroen e-C5 Aircross,2025,Crossover SUV,STLA Medium,No,Stellantis,France,Global,Crossover SUV
WIKI1034,Cupra Born,2021,Hatchback,MEB,Yes,SEAT,Spain,Global,Hatchback
WIKI1035,Cupra Tavascan,2023,Crossover SUV,MEB,Yes,SEAT,Spain,Global,Crossover SUV
WIKI1036,DS 3 Crossback E-Tense,2019,Crossover SUV,eCMP,No,Stellantis,France,Global,Crossover SUV
WIKI1037,DS No. 4,2025,Hatchback,EMP2 V3,No,Stellantis,France,Global,Hatchback
WIKI1038,DS No. 8,2025,Crossover SUV,STLA Medium,Yes,Stellantis,France,Global,Crossover SUV
WIKI1039,Dodge Charger Daytona,2024,Liftback,STLA Large,No,Stellantis,United States,Global,Liftback
WIKI1040,Dacia Spring Electric,2021,Hatchback,CMFA-EV,No,Dacia/Renault,Romania,Global,Hatchback
WIKI1041,Faraday Future FF 91,2023,Crossover SUV,,Yes,Faraday Future,United States,Global,Crossover SUV
WIKI1042,Fiat E-Ducato,2021,Van,,No,Stellantis,Italy,Global,Van
WIKI1043,Fiat 500e,2020,Hatchback,,Yes,Stellantis,Italy,Global,Hatchback
WIKI1044,Fiat 600e,2023,Crossover SUV,"eCMP, CMP",No,Stellantis,Italy,Global,Crossover SUV
WIKI1045,Fiat Grande Panda,2024,Hatchback,Smart Car,No,Stellantis,Italy,Global,Hatchback
WIKI1046,Ford Capri EV,2024,Crossover SUV,MEB,Yes,Ford,United States,Global,Crossover SUV
WIKI1047,Ford E-Transit,2021,Van,,No,Ford,United States,Global,Van
WIKI1048,Ford Explorer EV,2024,Crossover SUV,MEB,Yes,Ford,United States,Global,Crossover SUV
WIKI1049,Ford Mustang Mach-E,2020,Crossover SUV,GE1,Yes,Ford,United States,Global,Crossover SUV
WIKI1050,Ford Puma Gen-E,2024,Crossover SUV,Ford Global B-car,No,Ford,United States,Global,Crossover SUV
WIKI1051,Genesis Electrified G80,2021,Sedan,M3,No,Genesis Motor,South Korea,Global,Sedan
WIKI1052,Genesis Electrified GV70,2022,Crossover SUV,M3,No,Genesis Motor,South Korea,Global,Crossover SUV
WIKI1053,Genesis GV60,2021,Crossover SUV,E-GMP,Yes,Genesis Motor,South Korea,Global,Crossover SUV
WIKI1054,GMC Sierra EV,2023,Pickup truck,BT1,Yes,General Motors,United States,Global,Pickup truck
WIKI1055,GMC Hummer EV,2022,Pickup truck and SUV,BT1,Yes,General Motors,United States,Global,Pickup truck
WIKI1056,Honda e:Ny1/e:N1,2023,Crossover SUV,e:N Architecture F,No,Honda,Japan,Global,Crossover SUV
WIKI1057,Honda Prologue,2023,Crossover SUV,BEV3,Yes,Honda (produced by General Motors),Japan,Global,Crossover SUV
